nickel_mass,nickel_mass_err_upper,nickel_mass_err_lower,global_aperture_host_log_mass,global_aperture_host_log_mass_err_upper,global_aperture_host_log_mass_err_lower
0.0545,0.0003,0.0003,9.973426334769,0.12713743191278049,0.0852149261352988
0.0037,0.0038,0.0038,10.324293067680475,0.11688778696021451,0.1426762800131467
0.0588,0.01,0.01,9.326124573284552,0.21539183402562223,0.339711977623546
0.0341,0.0006,0.0006,9.769535694857096,0.13357378166874234,0.10352969081059804
0.0536,0.0119,0.0119,9.549701644358809,0.11990185692559407,0.209248805929672
0.032,0.0023,0.0023,9.095254337389905,0.08929698776548456,0.09212311747735846
0.0047,0.0002,0.0002,10.01113405803561,0.15394764945837913,0.17854125166024737
0.0234,0.0017,0.0017,8.627776399601794,0.15211826147172047,0.13596290344670692
0.0466,0.0116,0.0116,9.7911369287071,0.11896601212844615,0.09287373756750483
0.052,0.0162,0.0162,9.88569015481245,0.15271173814714523,0.2677946056441698
0.0085,0.0002,0.0002,10.421624075849769,0.11710099640719385,0.11289208314067878
0.0044,0.0033,0.0033,9.39882566053149,0.1709145613002505,0.1686537646876598
0.0087,0.0012,0.0012,8.84887676580981,0.3739064219632784,0.43689649292740107
0.0394,0.0051,0.0051,10.3272918237305,0.0796938862835006,0.06962378851529927
0.005,0.001,0.001,9.644401376416749,0.11254362314003252,0.1580097634929487
0.002,0.001,0.001,9.860369359642474,0.14931918629881658,0.20675568939277333
0.005,0.003,0.003,10.01113405803561,0.15394764945837913,0.17854125166024737
0.007,0.003,0.003,10.19721367567691,0.08435961339720066,0.10283097283749498
0.004,0.001,0.001,9.39882566053149,0.1709145613002505,0.1686537646876598
0.05,0.009,0.008,9.549701644358809,0.11990185692559407,0.209248805929672
0.02,0.01,0.007,10.298758195473258,0.1444770656036649,0.12648963518059197
0.063,0.001,0.001,10.317235056465064,0.10564366505566092,0.10539751889218074
0.069,0.003,0.004,9.881636957576207,0.1196032571317236,0.12240645662584626
0.033,0.002,0.003,11.009261031962318,0.13555989501453425,0.19359091815296559
0.021,0.002,0.002,10.298758195473258,0.1444770656036649,0.12648963518059197
0.0684,0.0017,0.0017,10.0073182245786,0.1783431117799985,0.12181384205313073
0.079,0.029,0.018,9.19750461016727,0.19612504797548702,0.25539376579452977
0.1239,0.0021,0.0024,9.16041865191075,0.19408976896854035,0.3357683111646086
0.1105,0.0024,0.0028,10.6766638273404,0.13177435001249904,0.08986008726989958
