nickel_mass,nickel_mass_err_upper,nickel_mass_err_lower,local_sfd,local_sfd_err_upper,local_sfd_err_lower
0.0545,0.0003,0.0003,0.033802685476112884,0.05300269226181295,0.018426247998055884
0.0037,0.0038,0.0038,0.020295800058178704,0.013274951006015705,0.007878102668518428
0.0588,0.01,0.01,0.016381297593482256,0.017621997339376676,0.007819474900462744
0.0207,0.0019,0.0019,0.0021508892488861626,0.0015684056122492315,0.0010797069505447086
0.0341,0.0006,0.0006,0.0017859990251096636,0.0010658288121747786,0.0006740548783068542
0.0536,0.0119,0.0119,0.00497189572104949,0.02783811765602416,0.004438998079391282
0.032,0.0023,0.0023,0.0017472182046309168,0.0025635890177167996,0.0009905329329050038
0.0047,0.0002,0.0002,0.009074774614681232,0.0066660060630529035,0.003930392103128156
0.052,0.0162,0.0162,0.03889130719951255,0.060708553246651954,0.020898252536030903
0.0085,0.0002,0.0002,0.0051802092201089665,0.006560813245752907,0.0030674229926604592
0.0044,0.0033,0.0033,0.024349898816040313,0.021675988817059143,0.011392862301464014
0.0497,0.0059,0.0059,0.012097706400185777,0.0076133498180245215,0.0035657101672121744
0.0394,0.0051,0.0051,0.20688864137141644,0.1850371807635915,0.08515331415716955
0.005,0.001,0.001,0.008117038070174974,0.009268055410145477,0.00469211415741436
0.005,0.003,0.003,0.009074774614681232,0.0066660060630529035,0.003930392103128156
0.007,0.003,0.003,0.00794962160243133,0.010975440201118772,0.004701963613779376
0.004,0.001,0.001,0.024349898816040313,0.021675988817059143,0.011392862301464014
0.05,0.009,0.008,0.00497189572104949,0.02783811765602416,0.004438998079391282
0.017,0.009,0.006,0.002074660325062558,0.003580501503774172,0.0011780704393291445
0.063,0.001,0.001,0.0121156448394931,0.022984211797805902,0.007501997647331327
0.069,0.003,0.004,0.0039097209166378145,0.00746206829788266,0.002570884961868799
0.0684,0.0017,0.0017,0.0385202046877065,0.08384952562982503,0.028152357126290564
0.1239,0.0021,0.0024,0.2752467978525385,0.3181448699839328,0.18705093125282768
0.0441,0.0004,0.0004,0.004014042175243928,0.004218480185741003,0.0022203193504647034
0.1105,0.0024,0.0028,0.004509781335204692,0.01841883017832036,0.0035875083291873043
