plateau_duration,plateau_duration_err_upper,plateau_duration_err_lower,global_aperture_host_log_mass,global_aperture_host_log_mass_err_upper,global_aperture_host_log_mass_err_lower
86.2,0.5,0.5,9.973426334769,0.12713743191278049,0.0852149261352988
122.6,1.0,1.0,10.324293067680475,0.11688778696021451,0.1426762800131467
102.0,1.0,1.0,9.326124573284552,0.21539183402562223,0.339711977623546
87.8,1.0,1.0,9.769535694857096,0.13357378166874234,0.10352969081059804
117.9,1.0,1.0,9.549701644358809,0.11990185692559407,0.209248805929672
126.6,3.1,3.1,9.095254337389905,0.08929698776548456,0.09212311747735846
124.2,4.5,4.5,10.01113405803561,0.15394764945837913,0.17854125166024737
135.5,3.0,3.0,8.627776399601794,0.15211826147172047,0.13596290344670692
118.3,5.0,5.0,9.7911369287071,0.11896601212844615,0.09287373756750483
140.2,2.0,2.0,9.88569015481245,0.15271173814714523,0.2677946056441698
90.0,2.0,2.0,10.421624075849769,0.11710099640719385,0.11289208314067878
117.8,8.0,8.0,9.39882566053149,0.1709145613002505,0.1686537646876598
106.2,2.0,2.0,8.84887676580981,0.3739064219632784,0.43689649292740107
110.6,5.0,5.0,10.3272918237305,0.0796938862835006,0.06962378851529927
80.5,8.0,8.0,10.28555128921223,0.1428380184791358,0.21885458338052466
96.0,7.0,7.0,9.549701644358809,0.11990185692559407,0.209248805929672
92.8,5.0,5.0,10.645122594101064,0.09641458015364712,0.09678366047112874
93.0,5.0,5.0,9.190098633064496,0.0955564171122294,0.11534881882358228
92.5,9.0,9.0,10.510768543554718,0.3981303236640503,0.7511879636525904
87.8,7.0,7.0,8.839746475374719,0.10009850770157236,0.1511932400799143
108.5,7.0,7.0,11.112658659391151,0.129081541762881,0.12506333523457158
86.0,6.0,6.0,11.14825358302707,0.12590613607269852,0.19833666074869782
108.9,7.0,7.0,10.743778919159688,0.13082558595885452,0.12510464405015043
80.7,6.0,6.0,9.961402702762236,0.10355281515703041,0.09565616786920117
84.9,4.0,4.0,10.964739284174586,0.10698161839460951,0.07365520955678484
120.2,6.0,6.0,10.317235056465064,0.10564366505566092,0.10539751889218074
106.06,4.0,4.0,10.275372123643194,0.11552755967333717,0.14556955970046914
94.0,8.0,8.0,10.461022355776793,0.11189001825116662,0.08398112518065659
112.9,10.0,10.0,10.705789046025938,0.1099948458203226,0.08252777786293386
92.6,10.0,10.0,10.700726432454573,0.14964949197307575,0.12782163936391377
85.6,8.0,8.0,10.674108395021344,0.03947575706297535,0.04948649561166718
85.2,6.0,6.0,10.892018799056817,0.02997513616699443,0.07016112817537845
96.9,8.0,8.0,10.213498333110449,0.08294371473672335,0.07731752370243683
77.3,8.0,8.0,10.112633532198949,0.11503437468805977,0.09781691105617263
97.7,7.0,7.0,9.881636957576207,0.1196032571317236,0.12240645662584626
71.3,11.0,11.0,11.009261031962318,0.13555989501453425,0.19359091815296559
103.4,5.0,5.0,10.305730392852698,0.13036857482915387,0.165031423765992
75.3,10.0,10.0,10.298758195473258,0.1444770656036649,0.12648963518059197
72.8,6.0,6.0,9.637952503972148,0.14489190168756316,0.14015321178130158
41.7,6.0,6.0,10.732941511015373,0.05629279888929872,0.07206647509988251
107.67,0.79,0.88,10.0073182245786,0.1783431117799985,0.12181384205313073
54.0,7.0,7.0,9.19750461016727,0.19612504797548702,0.25539376579452977
88.05,1.25,1.36,9.16041865191075,0.19408976896854035,0.3357683111646086
91.11,1.07,1.43,10.6766638273404,0.13177435001249904,0.08986008726989958
