plateau_duration,plateau_duration_err_upper,plateau_duration_err_lower,global_aperture_host_log_sfr,global_aperture_host_log_sfr_err_upper,global_aperture_host_log_sfr_err_lower
86.2,0.5,0.5,0.3270235073465507,0.19627147243602783,0.2985461998185044
122.6,1.0,1.0,0.14024547126583428,0.5800389013677498,1.0581238617966413
102.0,1.0,1.0,-0.12172575726128497,0.5097180446849455,0.5854860000495743
87.8,1.0,1.0,-0.23685284048251812,0.2049662720397839,0.20025609180603196
117.9,1.0,1.0,-1.1174971412346142,0.8623229840925397,1.1283602699750104
126.6,3.1,3.1,-1.9562025713841977,0.35639544383399335,0.49001207457510243
124.2,4.5,4.5,-1.134643338499557,0.7874687799542296,1.428097483345614
135.5,3.0,3.0,-1.4189908480522955,0.25524351210241747,0.2927819772143838
118.3,5.0,5.0,-0.6523617105521199,0.41341412012574497,0.6127453899811394
140.2,2.0,2.0,0.30854081582075493,0.42741683508145006,0.3410126923743537
90.0,2.0,2.0,0.07831069813134965,0.4592603980588155,0.6961935431741775
117.8,8.0,8.0,-0.0351719243566015,0.24051620864537349,0.3106326295174845
106.2,2.0,2.0,0.383999536702446,0.20060828505474493,0.21149764066065702
110.6,5.0,5.0,0.490265725495369,0.270965256590383,0.284497195990039
80.5,8.0,8.0,0.13891727863065584,0.38130640795121273,0.4350004643527878
96.0,7.0,7.0,-1.1174971412346142,0.8623229840925397,1.1283602699750104
92.8,5.0,5.0,0.6743294890377793,0.20443673873780244,0.19118796691805917
93.0,5.0,5.0,-1.0031564434034266,0.39191782455916335,0.3607577734273588
92.5,9.0,9.0,1.4306730758900181,0.4426224014338256,0.4732612566995691
87.8,7.0,7.0,-0.775914342974662,0.3607770140425991,0.34011224025274944
108.5,7.0,7.0,1.2607527708497503,0.3336965560775744,0.6680537409575675
86.0,6.0,6.0,1.1372987658744549,0.6285694182630026,0.5816280020320939
108.9,7.0,7.0,0.11918693282613922,0.9420223295842323,1.625659168978998
80.7,6.0,6.0,-0.39515439134786867,0.30327072910183217,0.5508095805059783
84.9,4.0,4.0,0.6354405588725636,0.3651292329234599,0.49605672869153994
120.2,6.0,6.0,0.17265178867802114,0.34410084641525296,0.3365569610936356
106.06,4.0,4.0,-0.10414368376698846,0.5781772522348224,0.9255440447544094
94.0,8.0,8.0,-0.43074229587350804,0.6094695165917382,1.125062160086691
112.9,10.0,10.0,0.21607688128114427,0.39167403656063754,0.39051201212468367
92.6,10.0,10.0,1.1278486666406178,0.33691272070545275,0.42534668677641174
85.6,8.0,8.0,-0.7497972333175175,0.3598789730596671,0.4200087956266133
85.2,6.0,6.0,-1.136713657411183,0.38756592851758964,0.5366149875574036
96.9,8.0,8.0,-0.24981772974647842,0.28795327551642147,0.27875981491167257
77.3,8.0,8.0,0.13543765874273575,0.3274584027655638,0.3611525150314328
97.7,7.0,7.0,-1.5168338870653317,0.7635317473797433,1.2276184798959402
71.3,11.0,11.0,1.349199218855585,0.37395932284530553,0.44347861912660036
103.4,5.0,5.0,0.7814333470021141,0.21614338233744546,0.2824983203985528
75.3,10.0,10.0,-1.1745137346658423,0.4202534507043926,0.38151994660711175
72.8,6.0,6.0,-0.7574525385262738,0.4898226355062851,0.6094471988399286
41.7,6.0,6.0,0.5293228437015276,0.3028252038275867,0.26783719379295395
107.67,0.79,0.88,-0.138648917001493,0.4210044094738,0.35632464335605196
54.0,7.0,7.0,-0.6454509357759581,0.488712036436337,0.3114064576497285
88.05,1.25,1.36,0.2779822046638,0.40313010668034194,0.517886694383462
91.11,1.07,1.43,0.719876895769188,0.36807076205298206,0.510771531822056
