plateau_duration,plateau_duration_err_upper,plateau_duration_err_lower,global_aperture_host_log_ssfr,global_aperture_host_log_ssfr_err_upper,global_aperture_host_log_ssfr_err_lower
86.2,0.5,0.5,-9.636085055814869,0.2208210610089374,0.3738624118730023
122.6,1.0,1.0,-10.145833244607331,0.5608231821498713,0.9862246671840644
102.0,1.0,1.0,-9.459731863957467,0.6431569167534068,0.5410871145213783
87.8,1.0,1.0,-10.025934887736378,0.24482060570094077,0.21425752647290963
117.9,1.0,1.0,-10.693131618915631,0.9993487636438694,1.2567196870421782
126.6,3.1,3.1,-11.063253214542517,0.4218711655874241,0.5048468801371389
124.2,4.5,4.5,-11.090900297710867,0.7811352157935421,1.511651717071274
135.5,3.0,3.0,-10.054086647950655,0.32926260418693687,0.36278584727025454
118.3,5.0,5.0,-10.422731350171585,0.42887583333674506,0.6853204560944146
140.2,2.0,2.0,-9.595937069884272,0.6173561979487552,0.40612177673813044
90.0,2.0,2.0,-10.381242658926581,0.5102612623312748,0.613660628331747
117.8,8.0,8.0,-9.46827558430401,0.3290450049729099,0.3530629491831103
106.2,2.0,2.0,-8.42176180388146,0.4908640399298294,0.48735330136589994
110.6,5.0,5.0,-9.84675729211967,0.3036062953977616,0.30965207569942876
80.5,8.0,8.0,-10.168667843232894,0.5495879945474371,0.46262823025979216
96.0,7.0,7.0,-10.693131618915631,0.9993487636438694,1.2567196870421782
92.8,5.0,5.0,-9.983216990141985,0.21244676193595247,0.20932773228480883
93.0,5.0,5.0,-10.181630384151944,0.415989209477134,0.3878505854254293
92.5,9.0,9.0,-8.935605187527415,0.8382615818190473,0.9831588876220394
87.8,7.0,7.0,-9.600194384612088,0.4147396101243217,0.3824752883032758
108.5,7.0,7.0,-9.857961131741455,0.41839392157052835,0.6991206804606627
86.0,6.0,6.0,-9.99346851654765,0.8487128486287272,0.659167108565093
108.9,7.0,7.0,-10.571099999730734,0.9444695552685882,1.583415431715034
80.7,6.0,6.0,-10.369373681179342,0.329866986528641,0.5893565829573522
84.9,4.0,4.0,-10.343777676208784,0.3847088704907282,0.5404741376262674
120.2,6.0,6.0,-10.138341780522884,0.3502901913405996,0.3168021321146792
106.06,4.0,4.0,-10.405533628848767,0.6598706833586849,0.8168125834739559
94.0,8.0,8.0,-10.851355018222732,0.594240967131471,1.1664914676010643
112.9,10.0,10.0,-10.499998858637694,0.3872155497482588,0.37487009590056175
92.6,10.0,10.0,-9.571374108973714,0.3922603528015838,0.47013434024728795
85.6,8.0,8.0,-11.393138619827155,0.35316463791058794,0.4482471407795181
85.2,6.0,6.0,-12.001636359812146,0.40420063210985724,0.5715622497750168
96.9,8.0,8.0,-10.47749268644306,0.30034779755892593,0.2681639365272108
77.3,8.0,8.0,-9.966589371218193,0.32387998250181305,0.36148625803634715
97.7,7.0,7.0,-11.400583216391901,0.7510870374662915,1.228898141951884
71.3,11.0,11.0,-9.667310996181865,0.509707391593226,0.49534653614650637
103.4,5.0,5.0,-9.52667739905615,0.29814607024685813,0.3899504231912676
75.3,10.0,10.0,-11.449863074354717,0.39939890806968137,0.42870346723317176
72.8,6.0,6.0,-10.391822519964654,0.5453225139226063,0.6780522707272816
41.7,6.0,6.0,-10.198692819469883,0.3423982905777656,0.2948292896473941
107.67,0.79,0.88,-10.197310275192,0.5278544030581802,0.34775956497249894
54.0,7.0,7.0,-9.806632336526553,0.6034867458989677,0.42872367263251654
88.05,1.25,1.36,-8.90433172387654,0.7270423076837105,0.5751424703660408
91.11,1.07,1.43,-9.96574819435323,0.4040013127850006,0.4714543724515696
